IID	PGS000903	PGS000902	PGS004924	PGS000750	PGS003763	PGS000211	PGS000056	PGS000123	PGS001774	PGS000777	PGS001353
865902841200	-3.70835	0.6179	0.6179	-0.738347	-0.780258	-0.289733	1.99483	0.203	0.163747	0.751416	0.991
762254498300	-3.23775	0.5954	0.5954	-0.203801	-0.184213	-0.413807	2.29154	0.519	0.351842	0.0	1.106
295764298800	-5.37925	0.2756	0.2756	-0.906635	-0.941319	-0.961124	1.84335	0.225	0.116119	0.751416	0.699
704107872400	-2.15445	0.8694	0.8694	-0.620231	-0.564966	-0.314349	1.97752	-0.012	0.292461	0.0	0.914
094510528500	-3.46735	0.7285	0.7285	-0.485377	-0.455764	-1.15674	2.08458	0.344	0.0503974	0.0	0.622
014472918300	-2.04155	0.9639	0.9639	-0.228814	-0.17732	-0.245399	2.65631	1.392	0.4813	0.0	1.106
184609231300	-4.46625	0.2594	0.2594	-0.769016	-0.717945	-1.10494	1.79771	-0.046	-0.682009	0.751416	0.192
211354734800	-3.28075	0.7196	0.7196	-0.194451	-0.137371	-0.611364	2.43582	0.77	-0.232932	0.751416	0.676
041750795200	-2.00965	0.5284	0.5284	-0.212634	-0.141921	-0.94172	1.916	0.628	-0.682009	0.0	0.0
211738978800	-3.05295	0.2661	0.2661	-0.609236	-0.619501	-0.272954	2.02676	0.201	-0.0440114	0.0	0.507
017122877600	-4.80935	-0.0106	-0.0106	-0.967767	-0.93118	-1.06437	1.91795	0.361	0.0153693	1.50283	0.484
254140740600	-1.72395	0.7921	0.7921	-0.516887	-0.479816	-0.369376	2.167	0.69	0.0539324	0.751416	1.206
220429366500	-2.74315	1.0763	1.0763	-0.385559	-0.352553	-1.02579	2.17247	0.169	-0.138523	0.751416	0.407
233158734000	-4.50905	1.0821	1.0821	-0.557178	-0.535995	-0.0260939	2.39295	0.588	-0.326617	0.0	0.699
902112642700	-1.59839	1.1846	1.1846	0.0878926	0.183372	0.00673244	2.50518	0.457	0.0224337	0.0	1.106
979681900200	-1.84627	0.467055	0.467055	-0.421847	-0.41649	-0.440556	2.08036	0.272	0.640789	0.0	0.991
942623487500	-2.75377	1.34245	1.34245	-0.360481	-0.36363	-0.810701	2.24219	0.386	-0.314039	0.751416	1.183
901614349800	-1.91377	1.09215	1.09215	0.167269	0.231038	-0.0594757	3.00977	1.153	0.367971	0.751416	1.106
832431655000	-2.15247	0.952155	0.952155	-0.733986	-0.707713	-0.19789	2.03379	0.41	0.229448	0.0	1.206
728420988400	-0.713371	1.50975	1.50975	-0.331988	-0.333315	-0.759215	2.36684	0.679	0.292461	0.751416	1.106
674335405400	-4.33307	0.408655	0.408655	-0.936584	-0.967282	-0.348586	1.89398	0.204	0.621869	0.0	0.699
911809486000	-1.47837	1.09605	1.09605	-0.653139	-0.643351	-0.0493717	2.06168	0.153	0.0818961	0.0	0.722
401508834000	-5.13847	0.160255	0.160255	-0.99206	-0.993878	-1.09214	1.79334	0.173	0.144083	0.751416	0.407
249254234700	-3.56607	0.398055	0.398055	-0.481742	-0.429428	-0.570882	2.2023	0.469	0.210631	0.751416	0.991
228799969200	-2.54457	0.699455	0.699455	-0.253451	-0.201605	0.185387	2.32952	0.472	0.0783823	0.751416	0.292
183612967900	-2.38317	0.805755	0.805755	-0.823981	-0.815839	-0.832122	1.95883	0.06	1.00522	0.751416	1.106
056757324500	-1.61857	0.482155	0.482155	-0.450823	-0.364017	-1.0125	2.25619	0.568	0.253898	0.0	0.384
110839298924	-2.92575	0.5096	0.5096	-1.00025	-1.00132	-0.3718	1.86872	0.305	0.248368	0.0	1.206
796640963700	-4.0305	0.5637	0.5637	-0.719353	-0.731247	-0.3431	2.36769	0.461	0.132249	0.0	0.891
473449685500	-2.09693	1.1631	1.1631	-0.409953	-0.37971	-0.532825	2.4005	0.307	0.543568	1.50283	0.622
400106408800	-2.31593	0.674	0.674	-0.475873	-0.463236	-0.755752	2.29048	0.252	-0.455352	0.0	0.43
521000689200	-4.49393	0.6146	0.6146	-0.521274	-0.493418	-0.491859	2.06348	0.194	0.0693173	0.751416	0.722
