IID	PGS004490	PGS004495	PGS004560	PGS004565	PGS004809	PGS004810	PGS002768	PGS002095	PGS001274	PGS001273	PGS001883
VN_03_00_1005	0.0861926	0.282425	0.00102807	0.00809443	0.202322	0.0740234	-0.645709	0.00640331	-0.117016	-0.0227389	-0.0599654
VN_03_00_1009	-0.0435172	0.226501	0.00264253	0.0133094	0.215087	0.14937	-0.459463	0.00641629	-0.153435	0.141409	0.00603858
VN_03_00_1010	0.051659	0.128246	0.0128947	0.0194617	0.184626	0.0127038	-0.820885	0.00886323	0.0731563	0.115605	0.168856
VN_03_00_1022	-0.127668	0.0102712	0.00228213	0.00957187	0.032343	0.000834383	-1.30325	0.000340829	-0.121008	-0.122611	-0.223395
VN_03_00_1023	-0.0451522	0.202415	0.0114787	0.02332	0.296648	0.237368	-0.327159	0.00371164	0.127562	0.12448	0.0385533
VN_03_00_1053	0.257236	0.194327	0.018148	0.0197653	0.36833	0.161285	0.0788257	0.00449841	0.338979	0.153171	-0.233558
VN_03_00_1054	0.0710072	0.0810832	0.00140424	0.00218537	0.138067	0.0624812	-1.21122	0.00564557	0.264919	0.00417166	0.0288041
VN_03_00_1055	-0.0207028	0.102753	-0.00389835	-0.000669401	0.0277391	-0.000713667	-1.61351	0.00354807	-0.118029	0.03631	-0.0318152
VN_03_01_0118	-0.169325	-0.162285	0.00105912	0.00415936	0.200568	0.154837	-0.509532	0.00115202	-0.124158	0.0207897	-0.232153
VN_03_01_0126	-0.174548	0.0970861	-0.022366	-0.016911	0.142388	-0.125356	-1.26802	0.00257972	-0.102177	0.11416	-0.26122
VN_03_01_0134	-0.110475	0.0377901	-0.00726248	-0.00215892	0.0975893	0.0457107	-1.55275	0.00286361	0.114735	0.0837072	-0.353867
VN_03_01_0174	-0.0104037	0.0121694	0.00494405	0.0074026	0.240776	0.135062	-0.508722	0.00492891	0.0345983	0.0841179	-0.167181
VN_03_01_0189	-0.14715	-0.0340611	-0.0175283	-0.016622	0.0487037	-0.086746	-1.23585	0.00176338	0.201065	0.101106	0.0554031
VN_03_01_0198	-0.0467283	0.11285	-0.00236284	0.00279191	0.14973	0.0595618	-0.987544	0.00452214	0.0209454	0.0713719	-0.06845
VN_03_01_0200	-0.00618851	-0.0891905	-0.00848921	-0.0108675	0.118475	-0.00893194	-1.27863	0.00739529	0.0260758	0.0188842	-0.0315869
VN_03_01_0201	0.0259992	0.0322907	-0.0154178	-0.0179837	-0.0610172	-0.391881	-1.78696	-0.00103843	-0.367619	-0.136273	-0.436628
VN_03_01_0214	0.254733	0.313657	0.0233957	0.0300016	0.39774	0.456022	-0.00551127	0.00660366	0.577569	0.401703	0.176385
VN_03_01_0215	-0.0340031	-0.00187911	0.00440181	0.00749649	0.281344	0.273979	-0.279295	0.0037869	-0.0261761	0.0882225	-0.0999763
VN_03_01_0341	-0.019674	0.0924557	0.0101378	0.0155693	0.25684	0.107508	-0.497216	0.00204497	0.440445	0.144053	-0.0362264
VN_03_01_0347	0.0741421	0.273572	0.0215103	0.032954	0.227605	0.145478	-0.620928	0.00324251	0.0706863	0.157067	-0.108686
VN_03_01_0350	0.358161	0.5431	0.0151566	0.024909	0.207642	0.164217	-0.949891	0.00520492	0.307774	0.207612	-0.0538959
VN_03_01_0358	-0.172774	-0.144819	-0.00855649	-0.00784981	0.101641	-0.127125	-0.698	0.00206919	-0.0254347	0.00824051	-0.181112
VN_03_01_0359	-0.18046	0.0508933	-0.00893754	-0.00121158	0.241802	0.125634	-0.58127	0.00400808	0.0865926	0.0268401	-0.0155044
VN_03_01_0360	0.0114183	0.175966	0.000356146	0.0067828	0.18314	0.1307	-0.839295	0.00477496	0.002917	0.108954	0.0146144
VN_03_01_0373	0.201134	0.341808	0.0131371	0.0212767	0.363435	0.315012	-0.0646243	0.00629696	0.358347	0.108683	0.159562
